Fecha,SKU,Categoria,Material,Costo_Adquisicion,Precio_Venta,Cantidad,Cliente,Ciudad
2025-06-12,PEN-ACE-6321,Pendientes,Acero 316L,33.63,73.42,1,Isidora María Teresa Parra Guillen,Soria
2025-09-30,COL-PLA-1193,Collares,Plata 925,43.9,66.57,2,Antonio Farré Lastra,Alicante
2025-12-03,ANI-ACE-9162,Anillos,Acero 316L,28.8,51.51,1,Hortensia Doménech Andrade,Burgos
2025-08-07,ANI-PLA-9195,Anillos,Plata 925,24.5,36.83,1,Evelia Borja Menéndez,Cáceres
2026-02-19,COL-PLA-4912,Collares,Plata 925,42.54,77.84,1,Augusto Villa Pardo,Tarragona
2026-03-09,COL-ACE-7722,Collares,Acero 316L,28.28,46.39,2,Ester del Vidal,Badajoz
2025-08-09,ANI-PLA-2501,Anillos,Plata 925,39.58,109.87,1,Juan Pablo del Amor,Asturias
2025-08-28,ANI-ACE-8333,Anillos,Acero 316L,43.88,104.01,1,Martirio Becerra-Albero,Murcia
2026-05-22,ANI-ACE-5843,Anillos,Acero con Baño PVD,29.14,82.11,1,Reyes Seve Martínez Francisco,Huelva
2025-10-06,PUL-ACE-9829,Pulseras,Acero con Baño PVD,19.53,43.09,1,Agustina de Camps,Castellón
2026-04-25,PUL-PLA-3748,Pulseras,Plata 925,37.07,88.15,1,Gema Alegria Prats,Huelva
2026-01-30,PUL-ACE-2586,Pulseras,Acero con Baño PVD,17.23,46.29,1,Ximena Agudo Carbajo,Sevilla
2026-01-22,PUL-ACE-9318,Pulseras,Acero con Baño PVD,39.43,70.22,1,Francisco Javier Andrés Felipe Oller Pascual,Soria
2025-07-29,PEN-PLA-5414,Pendientes,Plata 925,16.94,31.0,1,Aníbal del Marí,Palencia
2025-08-26,PUL-PLA-2457,Pulseras,Plata 925,43.28,129.23,1,Federico Carranza Azorin,Barcelona
2025-10-10,COL-ACE-2916,Collares,Acero 316L,30.51,63.12,3,Julio César Páez-Fajardo,Navarra
2026-02-06,COL-PLA-1053,Collares,Plata 925,40.82,116.91,3,Leopoldo Alvarado Torres,Guadalajara
2025-11-01,COL-ACE-8196,Collares,Acero 316L,41.85,62.85,1,Carolina Arjona Fuster,Ceuta
2025-11-01,PEN-PLA-9069,Pendientes,Plata 925,42.42,76.73,3,Ángeles Lledó Tapia,Cantabria
2026-03-05,PUL-ACE-5657,Pulseras,Acero con Baño PVD,20.11,59.66,1,Lucila Torrijos Ramón,Alicante
2025-06-09,PUL-ACE-2484,Pulseras,Acero 316L,37.69,106.85,1,Fabián Duque Neira,Lleida
2025-09-18,ANI-ACE-3869,Anillos,Acero 316L,19.33,44.81,1,Olegario Llorente Sacristán,Soria
2025-12-31,PEN-PLA-1899,Pendientes,Plata 925,23.46,59.0,2,Bonifacio Tapia,Soria
2025-10-28,PUL-ACE-9616,Pulseras,Acero 316L,25.49,41.31,3,Jorge Cisneros Sierra,Las Palmas
2025-09-06,ANI-ACE-1605,Anillos,Acero 316L,15.17,37.23,2,Alonso Chacón Espada,Zaragoza
2025-08-09,PUL-ACE-2374,Pulseras,Acero con Baño PVD,30.97,47.79,3,Fausto Gonzalo Portero Arana,Asturias
2025-08-27,PUL-ACE-4300,Pulseras,Acero con Baño PVD,17.54,31.54,1,Luisina Garcés Duarte,Navarra
2026-04-21,PEN-ACE-7383,Pendientes,Acero 316L,28.32,63.98,1,Édgar Barroso-Orozco,Álava
2026-04-14,ANI-ACE-5998,Anillos,Acero con Baño PVD,18.17,52.52,3,Fernanda Guardia Puga,Ávila
2025-11-28,PUL-ACE-4864,Pulseras,Acero con Baño PVD,36.32,57.25,1,Isabela Lucas Portillo,Málaga
2025-11-19,COL-ACE-8467,Collares,Acero 316L,36.67,108.81,1,Chucho Calvet,Ciudad
2025-10-15,ANI-PLA-7655,Anillos,Plata 925,35.42,66.33,1,Valentín Valle Lorenzo,Cáceres
2025-12-12,PUL-PLA-9103,Pulseras,Plata 925,32.83,64.37,1,Aitor Leon Nuñez,Castellón
2026-03-17,PUL-ACE-1456,Pulseras,Acero 316L,33.48,93.24,1,Marciano Fajardo Mora,Zamora
2025-07-02,COL-PLA-9824,Collares,Plata 925,29.31,77.3,1,Juan José Mariscal Barberá,Castellón
2025-06-02,ANI-ACE-1234,Anillos,Acero con Baño PVD,41.08,66.92,1,Ángela Nazaret Amaya Leal,Sevilla
2026-03-23,PUL-ACE-1845,Pulseras,Acero con Baño PVD,20.87,45.12,1,Faustino Gilabert Guerra,Ávila
2025-11-12,COL-PLA-3957,Collares,Plata 925,42.33,85.5,1,Heliodoro Beltrán Poza,Guadalajara
2025-08-14,COL-PLA-9082,Collares,Plata 925,26.06,73.25,1,Jacinta Páez,Lugo
2026-01-01,PUL-ACE-1981,Pulseras,Acero 316L,20.92,39.06,1,Julieta Gilabert,Asturias
2025-06-16,PEN-PLA-8629,Pendientes,Plata 925,16.21,42.69,3,Xavier Rojas Madrigal,Girona
2026-04-08,COL-ACE-5204,Collares,Acero 316L,39.25,105.76,5,Jessica Roda Cervera,Murcia
2025-10-19,ANI-ACE-3472,Anillos,Acero con Baño PVD,17.35,49.47,1,Máxima Carbó Alcaraz,Cantabria
2025-07-16,PUL-ACE-4248,Pulseras,Acero con Baño PVD,36.6,107.98,1,Gil Verdugo Miguel,Granada
2025-12-08,ANI-ACE-9361,Anillos,Acero 316L,28.93,76.49,1,Irma Teófila Granados Armas,Baleares
2025-06-15,PUL-ACE-7441,Pulseras,Acero con Baño PVD,39.11,107.67,1,Germán Sola Planas,Guadalajara
2025-09-04,COL-ACE-6179,Collares,Acero 316L,30.02,58.86,3,Anita Donoso Osorio,Valladolid
2025-08-16,PUL-ACE-8457,Pulseras,Acero 316L,36.19,69.55,1,Aurora Ferrer Mulet,La Coruña
2026-04-17,PEN-ACE-9766,Pendientes,Acero con Baño PVD,25.48,64.62,1,Jose Carlos Lozano-Leiva,Lleida
2025-10-19,PUL-PLA-8650,Pulseras,Plata 925,23.38,54.66,1,Jose Antonio Abella Goñi,Madrid
2025-08-18,ANI-ACE-8244,Anillos,Acero con Baño PVD,30.81,62.59,1,Domingo Mayo,Valencia
2026-02-12,ANI-PLA-3249,Anillos,Plata 925,27.69,69.19,1,Jacinto Iriarte Arteaga,Ceuta
2025-10-23,COL-ACE-6329,Collares,Acero con Baño PVD,22.4,64.47,1,Mirta Colomer Salvador,Ávila
2026-04-05,COL-ACE-7472,Collares,Acero 316L,23.32,38.56,1,Gastón Roque Arteaga Tejedor,Santa Cruz de Tenerife
2025-09-18,COL-ACE-3544,Collares,Acero 316L,32.44,65.57,1,Rosalva del Clemente,Burgos
2025-10-25,ANI-ACE-5895,Anillos,Acero 316L,33.57,100.39,1,Ainara Azorin Soria,Zaragoza
2026-01-05,PEN-PLA-8087,Pendientes,Plata 925,19.18,35.07,2,Inocencio Cornejo-Benavent,Badajoz
2026-05-07,COL-ACE-8296,Collares,Acero 316L,21.81,33.33,1,Bernardino Osuna Saez,Soria
2025-09-12,PEN-PLA-7237,Pendientes,Plata 925,29.23,45.9,1,Calixta de Salazar,Badajoz
2026-01-12,PEN-PLA-7853,Pendientes,Plata 925,38.38,103.36,1,Belén Plaza Chamorro,Las Palmas
2025-08-11,ANI-ACE-4732,Anillos,Acero 316L,26.14,71.45,3,Germán Heliodoro Gárate Marí,Girona
2025-08-22,PUL-PLA-1619,Pulseras,Plata 925,20.82,55.8,1,Benjamín Rico Cabo,Ceuta
2025-07-18,PEN-PLA-1059,Pendientes,Plata 925,29.0,76.14,1,Pía Ámbar Rivero Cervantes,Navarra
2025-09-04,PEN-ACE-8327,Pendientes,Acero con Baño PVD,21.44,49.37,2,Maristela Guillen Acosta,Segovia
2025-10-08,PUL-ACE-7983,Pulseras,Acero con Baño PVD,43.68,69.47,5,Plácido Ripoll Lucas,Asturias
2026-01-17,COL-PLA-8228,Collares,Plata 925,38.02,86.9,1,Quirino Jose Carlos Medina Gomis,Lugo
2026-05-30,PEN-PLA-8671,Pendientes,Plata 925,33.29,83.5,1,Merche Gordillo Cánovas,Pontevedra
2026-02-11,COL-ACE-2762,Collares,Acero 316L,18.9,51.71,1,Apolinar Rojas Heredia,Álava
2026-01-18,ANI-ACE-7917,Anillos,Acero 316L,41.93,66.15,4,David Moraleda Calzada,Girona
2025-08-25,COL-PLA-9327,Collares,Plata 925,27.62,52.39,1,Iris del Páez,Valladolid
2025-06-06,COL-ACE-9576,Collares,Acero 316L,17.02,33.52,1,Reinaldo Pablo Guzmán,Las Palmas
2025-08-02,PEN-PLA-2778,Pendientes,Plata 925,34.36,53.05,3,Julieta de Vilar,Soria
2026-02-07,COL-ACE-4424,Collares,Acero con Baño PVD,17.46,49.34,2,Julieta Ordóñez Echevarría,Madrid
2025-10-30,COL-ACE-2997,Collares,Acero 316L,32.52,96.18,1,Amalia Novoa Leiva,Córdoba
2025-10-21,ANI-ACE-2520,Anillos,Acero 316L,31.07,50.92,1,Jordi del Borrell,Cáceres
2025-10-28,PUL-ACE-1066,Pulseras,Acero 316L,42.8,95.52,1,Susanita Osuna Castejón,Ceuta
2026-04-25,COL-PLA-9616,Collares,Plata 925,21.67,62.1,1,Heriberto Cañizares España,Lugo
2025-07-05,ANI-ACE-9249,Anillos,Acero con Baño PVD,31.74,84.99,2,Loreto Catalá,Sevilla
2026-03-07,PUL-PLA-9416,Pulseras,Plata 925,25.82,73.6,1,Adalberto Fuentes Cánovas,Sevilla
2025-12-20,PUL-PLA-9462,Pulseras,Plata 925,17.82,30.19,2,María Pilar Nevado Ibarra,Palencia
2026-04-03,COL-PLA-6904,Collares,Plata 925,32.76,80.43,1,Paco Tapia Soriano,Cuenca
2025-08-07,PEN-ACE-6771,Pendientes,Acero 316L,36.9,59.95,1,Genoveva de Cabezas,Madrid
2026-01-15,ANI-ACE-2868,Anillos,Acero con Baño PVD,40.05,63.37,2,Palmira Pellicer Blasco,Albacete
2025-11-18,COL-PLA-1583,Collares,Plata 925,19.13,47.17,1,Nidia Alemán Roca,Santa Cruz de Tenerife
2026-03-25,COL-PLA-1467,Collares,Plata 925,17.48,39.22,1,Águeda Bustos-Zorrilla,Asturias
2025-08-11,COL-PLA-5955,Collares,Plata 925,20.42,41.84,1,Isabela Lumbreras Lozano,Soria
2025-10-10,COL-PLA-3316,Collares,Plata 925,19.44,44.11,1,Etelvina Castillo Benavides,Barcelona
2025-12-05,PUL-ACE-6239,Pulseras,Acero 316L,37.15,68.83,1,Ricarda del Guillén,Lleida
2026-04-12,PUL-PLA-3005,Pulseras,Plata 925,27.72,50.91,1,Abel Badía Roig,Girona
2025-12-23,PEN-ACE-4027,Pendientes,Acero con Baño PVD,27.48,71.91,5,Cristian Barón Miró,Salamanca
2025-12-18,PUL-ACE-6506,Pulseras,Acero con Baño PVD,35.52,75.03,1,Gloria Castells Collado,Cantabria
2025-12-02,PUL-ACE-8368,Pulseras,Acero 316L,35.42,82.54,2,Guillermo Hernandez Recio,Burgos
2026-04-24,PUL-ACE-6316,Pulseras,Acero con Baño PVD,32.17,76.11,1,Olalla del Salmerón,Tarragona
2026-04-24,ANI-PLA-1233,Anillos,Plata 925,20.31,46.97,1,Duilio Palacios-Prieto,Lleida
2025-10-25,ANI-ACE-1205,Anillos,Acero 316L,31.54,68.68,1,Sabas del Acuña,Granada
2026-02-15,ANI-PLA-9098,Anillos,Plata 925,37.06,100.78,2,Tadeo Garrido,Guipúzcoa
2026-01-20,COL-ACE-9675,Collares,Acero 316L,22.93,51.46,1,Graciano Silvio Cerdán Escolano,Toledo
2025-11-12,ANI-ACE-3287,Anillos,Acero con Baño PVD,34.48,59.86,1,Inocencio Espinosa Pozuelo,Alicante
2025-06-02,PEN-PLA-6399,Pendientes,Plata 925,43.22,67.03,1,Nidia Fabra,Valladolid
2026-03-14,ANI-ACE-7555,Anillos,Acero 316L,42.6,72.75,1,Kike Carreras-Olmo,Vizcaya
2025-11-28,COL-ACE-3073,Collares,Acero 316L,37.55,111.9,2,Aitor Cid Carvajal,Lugo
2026-05-28,COL-ACE-1766,Collares,Acero 316L,17.07,33.18,1,Íñigo Pedrero Noriega,Murcia
2026-01-29,PUL-ACE-7481,Pulseras,Acero con Baño PVD,29.36,74.03,3,Eva García Giner,Guadalajara
2026-01-26,ANI-ACE-4193,Anillos,Acero con Baño PVD,39.08,105.35,1,Jose Vicente Falcó,Murcia
2025-07-04,PUL-ACE-7507,Pulseras,Acero con Baño PVD,17.64,37.15,1,Amor Zabaleta Carbó,Guipúzcoa
2026-04-20,ANI-ACE-3973,Anillos,Acero 316L,40.65,94.89,3,Cirino Cueto Pol,Córdoba
2026-01-29,PUL-PLA-8025,Pulseras,Plata 925,16.29,34.42,1,María Del Carmen Araujo Calatayud,Soria
2025-08-10,PEN-ACE-7150,Pendientes,Acero con Baño PVD,18.17,36.91,2,Carlito Ramirez-Nieto,Valencia
2026-01-27,PEN-ACE-7200,Pendientes,Acero con Baño PVD,38.57,77.89,1,Tristán Mateos Cañellas,Valladolid
2026-04-04,PUL-ACE-5615,Pulseras,Acero 316L,19.03,42.36,1,Juan Manuel Sanchez Cañas,Baleares
2025-11-04,ANI-PLA-6302,Anillos,Plata 925,38.66,66.82,4,Prudencia Pereira Font,Navarra
2026-02-05,ANI-ACE-7358,Anillos,Acero 316L,26.77,67.65,1,Amor Burgos,Málaga
2026-05-19,PUL-ACE-6823,Pulseras,Acero 316L,39.48,85.34,1,Cesar Pérez Trillo,Cuenca
2026-04-30,COL-PLA-2317,Collares,Plata 925,22.23,65.73,1,Cloe de Samper,Palencia
2026-01-09,ANI-ACE-2266,Anillos,Acero 316L,15.31,35.48,1,Otilia Gomis,Palencia
2025-10-20,PUL-PLA-3642,Pulseras,Plata 925,31.6,74.84,1,Nicolás Uría Tirado,Lleida
2025-10-14,ANI-ACE-3285,Anillos,Acero 316L,30.21,81.96,1,Jose Angel Nebot Artigas,Palencia
2026-01-19,ANI-ACE-5165,Anillos,Acero 316L,38.53,79.14,2,Marianela Escobar Calatayud,La Coruña
2025-09-12,COL-ACE-3100,Collares,Acero con Baño PVD,40.47,67.76,1,David Antón Morera,Cantabria
2026-04-24,COL-ACE-7556,Collares,Acero con Baño PVD,31.84,83.4,1,Guillermo Criado Valls,Soria
2025-07-12,PUL-PLA-1040,Pulseras,Plata 925,41.61,101.15,4,Lola Patricia Tejada Benito,Albacete
2025-10-24,PEN-ACE-6102,Pendientes,Acero con Baño PVD,43.69,113.58,1,Crescencia Pont Bermejo,Tarragona
2025-11-04,COL-ACE-5814,Collares,Acero con Baño PVD,28.83,50.5,2,Leocadia Domingo Franco,Cuenca
2025-06-27,PEN-ACE-8698,Pendientes,Acero con Baño PVD,42.17,124.99,1,Quirino Morán-Crespi,Huesca
2025-11-28,ANI-ACE-2815,Anillos,Acero 316L,43.92,131.24,1,Charo Cantero Arteaga,Lleida
2026-04-27,PEN-PLA-2281,Pendientes,Plata 925,35.18,55.26,1,Eladio Novoa Maza,La Rioja
2025-10-31,PEN-ACE-2001,Pendientes,Acero 316L,22.43,56.33,3,Griselda Alcalde Llanos,Almería
2026-03-29,COL-ACE-9226,Collares,Acero 316L,17.36,45.39,1,Pánfilo Lobato Burgos,Lleida
2025-10-11,ANI-ACE-2398,Anillos,Acero con Baño PVD,25.89,53.98,1,Edelmiro Jáuregui Alberdi,Las Palmas
2025-10-30,COL-PLA-3173,Collares,Plata 925,44.82,127.19,1,Marcia Maza,Málaga
2026-05-13,PUL-ACE-8425,Pulseras,Acero con Baño PVD,22.54,38.02,1,Juan Bautista Iglesia-Vergara,Alicante
2026-04-10,COL-ACE-8841,Collares,Acero con Baño PVD,38.6,84.22,1,Fabiola Cañizares Sans,Tarragona
2026-03-07,COL-PLA-5003,Collares,Plata 925,43.94,72.47,1,Melisa Medina Galán,Girona
2026-01-02,COL-ACE-4684,Collares,Acero 316L,35.54,90.78,1,Sigfrido Roman-Salvà,Álava
2026-03-03,PEN-ACE-3827,Pendientes,Acero 316L,36.07,94.66,1,Daniel Español-Alarcón,Asturias
2026-01-04,ANI-ACE-2980,Anillos,Acero con Baño PVD,30.76,48.1,1,Lupita Lorenzo-Palmer,Cáceres
2025-12-28,PEN-ACE-8732,Pendientes,Acero con Baño PVD,19.45,53.69,4,Nuria Cuervo Perera,Castellón
2026-05-08,PEN-ACE-7580,Pendientes,Acero con Baño PVD,15.47,30.46,2,Asdrubal Severiano Anglada Cases,Madrid
2025-11-28,PEN-ACE-1822,Pendientes,Acero 316L,18.0,37.53,1,Fausto Arévalo Fábregas,La Rioja
2025-12-04,COL-ACE-5047,Collares,Acero 316L,29.97,59.9,3,Remigio Quintana Robledo,Zamora
2025-10-10,PUL-ACE-4998,Pulseras,Acero 316L,18.53,37.55,1,Marina Águila Solé,Sevilla
2025-10-25,ANI-ACE-3737,Anillos,Acero con Baño PVD,19.67,30.47,1,Onofre Arrieta,Ciudad
2025-12-09,PEN-ACE-7597,Pendientes,Acero 316L,31.75,59.66,3,Jose Luis Salvà-Jaume,Zaragoza
2025-11-09,COL-ACE-1155,Collares,Acero 316L,22.06,59.08,1,Irma del Fernández,Almería
2026-01-18,ANI-PLA-8134,Anillos,Plata 925,18.88,28.78,1,Angelina Azorin Lasa,Murcia
2025-08-31,PEN-PLA-1430,Pendientes,Plata 925,26.78,44.68,1,Mauricio Pagès,Granada
2025-12-31,PUL-ACE-1862,Pulseras,Acero 316L,18.1,48.26,2,Gervasio Sedano Botella,Cuenca
2025-06-11,ANI-ACE-6865,Anillos,Acero 316L,33.7,61.52,2,Febe Márquez Yáñez,Alicante
2026-05-22,PEN-ACE-6320,Pendientes,Acero con Baño PVD,32.74,87.74,5,Febe Feliu-Salcedo,Málaga
2025-06-19,COL-ACE-1578,Collares,Acero con Baño PVD,44.28,110.54,2,Elba Arana Ferrer,Soria
2026-04-29,ANI-PLA-7752,Anillos,Plata 925,35.66,71.76,1,Delfina Pastor Vallejo,Zaragoza
2025-07-06,ANI-ACE-1170,Anillos,Acero con Baño PVD,24.26,59.36,1,Bonifacio Goñi Rios,Guadalajara
2025-11-24,PEN-ACE-2599,Pendientes,Acero 316L,39.59,93.41,3,Gilberto Fonseca,Álava
2026-01-26,COL-ACE-4982,Collares,Acero con Baño PVD,30.01,60.16,1,Xiomara Pinto-Alba,Cádiz
2026-04-05,PUL-ACE-1383,Pulseras,Acero 316L,26.37,54.07,4,Gustavo Sureda,Málaga
2025-09-10,PEN-ACE-9908,Pendientes,Acero con Baño PVD,29.91,84.02,1,Amado Arenas Fiol,Álava
2025-10-04,ANI-ACE-8126,Anillos,Acero con Baño PVD,41.9,68.96,1,Ana Sofía Rios Torrents,Lugo
2026-03-23,PEN-ACE-8348,Pendientes,Acero con Baño PVD,29.19,53.96,2,Seve Leiva Díez,Segovia
2025-09-18,PEN-ACE-3350,Pendientes,Acero 316L,42.69,88.15,1,Loreto Vinicio Vilar Rebollo,Córdoba
2025-08-17,ANI-ACE-6304,Anillos,Acero con Baño PVD,18.55,47.34,1,Tiburcio Pastor Larrañaga,Pontevedra
2025-09-14,COL-ACE-9982,Collares,Acero 316L,35.28,66.69,1,Genoveva Calderon Pineda,Zaragoza
2025-07-05,PEN-PLA-8076,Pendientes,Plata 925,29.72,47.7,1,Amparo Casanova Vidal,Toledo
2026-05-23,PUL-ACE-8512,Pulseras,Acero con Baño PVD,28.72,80.66,3,Emiliana Tenorio Juárez,La Coruña
2025-10-16,PEN-ACE-4310,Pendientes,Acero con Baño PVD,15.9,26.83,4,Gisela Mate Larrañaga,Soria
2025-06-27,PEN-ACE-7243,Pendientes,Acero con Baño PVD,16.44,35.74,1,Miguel del Capdevila,Ourense
2025-10-26,PEN-ACE-2114,Pendientes,Acero con Baño PVD,41.56,71.36,2,Venceslás Ribes-Torrijos,Vizcaya
2025-11-30,ANI-ACE-7785,Anillos,Acero con Baño PVD,42.86,117.74,1,Calixta Barceló,Ourense
2025-10-31,PEN-ACE-8361,Pendientes,Acero con Baño PVD,16.22,32.17,1,Conrado López Bonilla,Huelva
2025-07-10,PUL-ACE-9559,Pulseras,Acero 316L,34.71,73.36,5,Conrado Ambrosio Gomila Casanovas,Madrid
2026-05-05,PEN-ACE-4761,Pendientes,Acero con Baño PVD,17.01,36.7,2,Josep Somoza Guerra,Palencia
2025-12-14,PEN-PLA-6655,Pendientes,Plata 925,41.99,79.71,2,Clara Giralt Oliver,Zamora
2026-03-13,PUL-ACE-2646,Pulseras,Acero 316L,21.04,38.69,1,Miguel Ángel Cerdán Company,Málaga
2025-12-02,PUL-ACE-8126,Pulseras,Acero 316L,33.52,72.71,1,Alfredo Castejón,Cantabria
2026-05-20,PUL-PLA-2010,Pulseras,Plata 925,43.96,112.53,1,Leonel Roselló,Sevilla
2026-04-03,COL-PLA-6059,Collares,Plata 925,42.69,75.98,3,Rafa Joan Sacristán Salazar,León
2025-09-27,ANI-ACE-8568,Anillos,Acero con Baño PVD,39.15,107.94,1,Eligia Verdejo,Toledo
2026-03-10,COL-PLA-2152,Collares,Plata 925,33.69,97.57,1,Esther Donaire Bauzà,Girona
2026-04-01,ANI-ACE-3726,Anillos,Acero con Baño PVD,29.93,68.33,1,Julia Dalmau Echeverría,Guipúzcoa
2025-11-03,PEN-ACE-7363,Pendientes,Acero 316L,24.63,58.23,1,Berto Urrutia,Almería
2025-07-02,COL-ACE-6534,Collares,Acero con Baño PVD,35.44,73.89,1,Bruno del Blanca,León
2025-06-02,PUL-ACE-2159,Pulseras,Acero 316L,33.7,98.46,1,Ulises Cornejo Soler,Ávila
2025-10-13,PUL-ACE-9217,Pulseras,Acero 316L,20.39,32.38,1,Matilde Mata Bertrán,Cantabria
2026-02-16,ANI-ACE-1093,Anillos,Acero con Baño PVD,36.29,75.25,1,Cayetana Toro Gomis,Valladolid
2025-12-26,ANI-ACE-5968,Anillos,Acero con Baño PVD,29.3,62.78,2,Vera Barrena Mínguez,Toledo
2025-10-13,COL-ACE-3915,Collares,Acero con Baño PVD,16.76,28.76,2,Nydia de Salinas,Zamora
2026-04-17,PUL-PLA-7888,Pulseras,Plata 925,23.84,68.57,1,Marcio Torrecilla Puente,Santa Cruz de Tenerife
2026-01-14,PEN-ACE-6976,Pendientes,Acero 316L,25.24,61.79,1,Mónica Vega Pastor,Granada
2025-10-27,PUL-PLA-4426,Pulseras,Plata 925,25.15,57.24,1,Chuy Ribera,Huelva
2025-11-21,PEN-ACE-8678,Pendientes,Acero 316L,27.0,60.09,1,Dora Alondra Ricart Cañas,Guipúzcoa
2025-12-29,PUL-PLA-8242,Pulseras,Plata 925,35.82,92.45,1,Sol Peláez,Badajoz
2025-08-12,PEN-PLA-6279,Pendientes,Plata 925,41.22,93.49,1,Edgardo Anglada,Barcelona
2026-04-24,ANI-ACE-7327,Anillos,Acero con Baño PVD,35.89,68.6,1,Pacífica Marcela Campillo Herrero,Cuenca
2025-06-07,ANI-ACE-3230,Anillos,Acero con Baño PVD,38.9,66.78,1,Amanda Laguna,Huelva
2025-11-11,COL-PLA-3172,Collares,Plata 925,36.76,59.96,2,Santiago Soria Elías,Tarragona
2025-09-20,PEN-PLA-1927,Pendientes,Plata 925,32.86,59.89,1,Dionisio Bello-Mata,Madrid
2025-11-30,PEN-ACE-9842,Pendientes,Acero 316L,30.87,47.21,1,Ciro Toledo-Figueras,Guadalajara
2025-06-30,PEN-ACE-5987,Pendientes,Acero con Baño PVD,20.8,35.44,3,Florinda Abella-Hervia,La Rioja
2026-01-12,COL-ACE-5497,Collares,Acero 316L,21.62,47.3,1,Belén Iriarte Meléndez,Murcia
2025-07-06,PUL-ACE-9337,Pulseras,Acero con Baño PVD,41.21,106.42,1,Manolo Cánovas Gual,León
2026-04-17,ANI-PLA-1338,Anillos,Plata 925,19.03,45.77,1,Juanito Bermúdez Montoya,Burgos
2025-09-10,ANI-PLA-6529,Anillos,Plata 925,44.48,98.11,3,Lorenzo del Borrell,Albacete
2025-11-12,PEN-ACE-8354,Pendientes,Acero 316L,40.81,65.69,1,Atilio Perera Ortuño,Ourense
2026-05-13,ANI-PLA-1593,Anillos,Plata 925,27.33,62.79,1,Francisco Oliver-Machado,La Coruña
2026-01-23,ANI-ACE-7770,Anillos,Acero 316L,36.27,81.52,1,Manu Morán,Ávila
2025-12-23,PUL-ACE-6289,Pulseras,Acero con Baño PVD,22.8,57.48,1,Aureliano León Revilla Urrutia,Valencia
2026-05-06,COL-PLA-6992,Collares,Plata 925,43.61,82.9,1,Merche Amores Carpio,La Rioja
2026-01-06,PEN-ACE-3465,Pendientes,Acero con Baño PVD,32.05,71.74,1,Hilario Luján Farré,Castellón
2025-11-19,ANI-ACE-7845,Anillos,Acero con Baño PVD,30.84,60.6,1,Sandra Ribes Francisco,Guipúzcoa
2025-09-08,PEN-ACE-9595,Pendientes,Acero con Baño PVD,16.85,44.05,1,Fortunata Arce Toledo,Navarra
2025-12-23,ANI-PLA-9811,Anillos,Plata 925,34.97,78.26,1,Calixta Lasa Mur,Cádiz
2026-02-23,COL-ACE-7733,Collares,Acero con Baño PVD,23.67,48.84,1,Plinio Gálvez Boada,Jaén
2026-03-20,ANI-ACE-9221,Anillos,Acero 316L,22.42,35.05,1,Mirta Sales Recio,Málaga
2025-07-31,PUL-ACE-7848,Pulseras,Acero con Baño PVD,18.46,34.18,2,Bartolomé Iglesia Salas,Zamora
2025-06-04,COL-PLA-8637,Collares,Plata 925,27.8,64.76,1,Eusebia Morera Aller,Toledo
2025-09-25,ANI-ACE-7339,Anillos,Acero con Baño PVD,32.44,81.23,1,Victor Anglada Milla,Pontevedra
2026-01-23,ANI-ACE-5729,Anillos,Acero con Baño PVD,26.61,41.72,2,Sebastián Valverde Menendez,Valladolid
2025-09-24,COL-PLA-5574,Collares,Plata 925,40.25,74.59,2,Juan Francisco Palma,Ciudad
2025-08-09,ANI-PLA-4306,Anillos,Plata 925,19.98,41.33,1,Calixto Alcalá Vilanova,Cantabria
2025-11-05,ANI-PLA-1075,Anillos,Plata 925,43.25,100.62,3,Celestina del Matas,Almería
2026-01-13,PUL-ACE-4931,Pulseras,Acero 316L,27.63,65.66,2,Emma Maestre,Huelva
2025-09-26,COL-PLA-8891,Collares,Plata 925,25.52,46.36,1,Jose del Robles,Albacete
2026-02-27,COL-ACE-5911,Collares,Acero 316L,18.93,36.81,1,Modesto Mateos Mosquera,Lleida
2026-05-04,COL-PLA-5669,Collares,Plata 925,31.44,51.91,2,Iván del Naranjo,Asturias
2025-07-09,COL-ACE-2454,Collares,Acero 316L,41.84,81.42,1,Vera Iriarte Querol,Ceuta
2025-08-06,ANI-ACE-9474,Anillos,Acero con Baño PVD,31.36,79.03,1,Cloe Exposito Laguna,Salamanca
2026-03-26,PEN-ACE-2237,Pendientes,Acero con Baño PVD,17.9,30.03,1,Pastor Carretero Niño,Guadalajara
2026-01-30,PEN-PLA-5667,Pendientes,Plata 925,17.07,36.83,3,Piedad de Amat,Ceuta
2025-12-24,PUL-ACE-4415,Pulseras,Acero con Baño PVD,15.09,44.49,2,Mauricio Garrido,Zaragoza
2025-08-20,PEN-ACE-8954,Pendientes,Acero con Baño PVD,17.95,50.36,1,Adela Ródenas Morata,Baleares
2025-09-01,COL-ACE-1658,Collares,Acero con Baño PVD,24.28,67.31,3,Nazaret Samuel Melero León,Baleares
2025-10-26,PEN-ACE-7274,Pendientes,Acero 316L,18.42,49.2,3,Bibiana Morata Soriano,Baleares
2025-10-07,PEN-ACE-3940,Pendientes,Acero con Baño PVD,20.6,53.25,1,Beatriz Rincón Hidalgo,Barcelona
2025-11-11,PEN-ACE-5246,Pendientes,Acero con Baño PVD,39.23,85.91,4,Íngrid Bermejo Soler,Vizcaya
2025-08-23,PEN-ACE-1249,Pendientes,Acero con Baño PVD,32.62,64.44,1,Marta Carretero,Ávila
